description,attribute,metric,value
Colorado Case Counts by County,Weld County,Cases,2724
Colorado Case Counts by County,Yuma County,Cases,50
Colorado Case Counts by County,Note,"County rates per 100,000 are calculated using 2018 population estimates from the Demography Section, Colorado Division of Local Government.",NA
COVID-19 in Colorado by Age Group,0-9,Percent of Cases,2.47
COVID-19 in Colorado by Age Group,19-Oct,Percent of Cases,5.32
COVID-19 in Colorado by Age Group,20-29,Percent of Cases,17.49
COVID-19 in Colorado by Age Group,30-39,Percent of Cases,17.4
COVID-19 in Colorado by Age Group,40-49,Percent of Cases,16.87
COVID-19 in Colorado by Age Group,50-59,Percent of Cases,15.49
COVID-19 in Colorado by Age Group,60-69,Percent of Cases,10.77
COVID-19 in Colorado by Age Group,70-79,Percent of Cases,6.78
COVID-19 in Colorado by Age Group,80+,Percent of Cases,7.3
COVID-19 in Colorado by Age Group,Unknown,Percent of Cases,0.12
COVID-19 in Colorado by Age Group,19-Oct,Percent of Deaths,0.18
COVID-19 in Colorado by Age Group,20-29,Percent of Deaths,0.55
COVID-19 in Colorado by Age Group,30-39,Percent of Deaths,0.67
COVID-19 in Colorado by Age Group,40-49,Percent of Deaths,2.67
COVID-19 in Colorado by Age Group,50-59,Percent of Deaths,6.3
COVID-19 in Colorado by Age Group,60-69,Percent of Deaths,12.78
COVID-19 in Colorado by Age Group,70-79,Percent of Deaths,23.38
COVID-19 in Colorado by Age Group,80+,Percent of Deaths,53.48
COVID-19 in Colorado by Age Group,0-9,Percent of Colorado Population,11.85
COVID-19 in Colorado by Age Group,19-Oct,Percent of Colorado Population,13.11
COVID-19 in Colorado by Age Group,20-29,Percent of Colorado Population,14.61
COVID-19 in Colorado by Age Group,30-39,Percent of Colorado Population,14.56
COVID-19 in Colorado by Age Group,40-49,Percent of Colorado Population,13.04
COVID-19 in Colorado by Age Group,50-59,Percent of Colorado Population,12.67
COVID-19 in Colorado by Age Group,60-69,Percent of Colorado Population,10.91
COVID-19 in Colorado by Age Group,70-79,Percent of Colorado Population,6.12
COVID-19 in Colorado by Age Group,80+,Percent of Colorado Population,3.13
COVID-19 in Colorado by Age Group,Unknown,Percent of Colorado Population,0
COVID-19 in Colorado by Age Group,Note,Percent of cases and deaths by age group compared to percent of total Colorado (CO) population.,NA
COVID-19 in Colorado by Age Group,Note,"Population Data: Colorado Department of Local Affairs State Demography Office, 2018 Regional Estimates",NA
COVID-19 in Colorado by Race & Ethnicity,AIAN - Non Hispanic,Percent of Cases,0.54
COVID-19 in Colorado by Race & Ethnicity,Asian - Non Hispanic,Percent of Cases,2.6
COVID-19 in Colorado by Race & Ethnicity,Black - Non Hispanic,Percent of Cases,5.63
COVID-19 in Colorado by Race & Ethnicity,"Hispanic, All Races",Percent of Cases,38.33
COVID-19 in Colorado by Race & Ethnicity,Multiple - Non Hispanic,Percent of Cases,0.76
COVID-19 in Colorado by Race & Ethnicity,NHOPI - Non Hispanic,Percent of Cases,0.41
COVID-19 in Colorado by Race & Ethnicity,White - Non Hispanic,Percent of Cases,34.24
COVID-19 in Colorado by Race & Ethnicity,Other,Percent of Cases,0.85
COVID-19 in Colorado by Race & Ethnicity,Unknown/Not Provided,Percent of Cases,16.64
COVID-19 in Colorado by Race & Ethnicity,AIAN - Non Hispanic,Percent of Deaths,0.55
COVID-19 in Colorado by Race & Ethnicity,Asian - Non Hispanic,Percent of Deaths,3.45
COVID-19 in Colorado by Race & Ethnicity,Black - Non Hispanic,Percent of Deaths,6.6
COVID-19 in Colorado by Race & Ethnicity,"Hispanic, All Races",Percent of Deaths,21.02
COVID-19 in Colorado by Race & Ethnicity,Multiple - Non Hispanic,Percent of Deaths,0.85
COVID-19 in Colorado by Race & Ethnicity,NHOPI - Non Hispanic,Percent of Deaths,0.36
COVID-19 in Colorado by Race & Ethnicity,White - Non Hispanic,Percent of Deaths,62.45
COVID-19 in Colorado by Race & Ethnicity,Other,Percent of Deaths,0.48
COVID-19 in Colorado by Race & Ethnicity,Unknown/Not Provided,Percent of Deaths,4.24
COVID-19 in Colorado by Race & Ethnicity,AIAN - Non Hispanic,Percent of Colorado Population,0.56
COVID-19 in Colorado by Race & Ethnicity,Asian - Non Hispanic,Percent of Colorado Population,3.12
COVID-19 in Colorado by Race & Ethnicity,Black - Non Hispanic,Percent of Colorado Population,3.92
COVID-19 in Colorado by Race & Ethnicity,"Hispanic, All Races",Percent of Colorado Population,21.69
COVID-19 in Colorado by Race & Ethnicity,Multiple - Non Hispanic,Percent of Colorado Population,2.65
COVID-19 in Colorado by Race & Ethnicity,NHOPI - Non Hispanic,Percent of Colorado Population,0.12
COVID-19 in Colorado by Race & Ethnicity,White - Non Hispanic,Percent of Colorado Population,67.76
COVID-19 in Colorado by Race & Ethnicity,Other,Percent of Colorado Population,0.19
COVID-19 in Colorado by Race & Ethnicity,Note,Percent of cases and deaths by race and ethnicity compared to percent of total Colorado (CO) population.,NA
COVID-19 in Colorado by Race & Ethnicity,Note,"Population Data: U.S. Census Bureau, 2018 American Community Survey 1-Year Estimates",NA
COVID-19 in Colorado by Sex,Female,Percent of Cases,50.28
COVID-19 in Colorado by Sex,Female to Male,Percent of Cases,0.02
COVID-19 in Colorado by Sex,Male,Percent of Cases,47.73
COVID-19 in Colorado by Sex,Male to Female,Percent of Cases,0.02
COVID-19 in Colorado by Sex,Unknown,Percent of Cases,1.95
COVID-19 in Colorado by Sex,Female,Percent of Deaths,44.7
COVID-19 in Colorado by Sex,Male,Percent of Deaths,55
COVID-19 in Colorado by Sex,Unknown,Percent of Deaths,0.3
Case Status for Cases & Deaths,Confirmed,Number of Cases,27959
Case Status for Cases & Deaths,Confirmed,Percent of Cases,0.91
Case Status for Cases & Deaths,Confirmed,Number of Deaths,1314
Case Status for Cases & Deaths,Confirmed,Percent of Deaths,0.8
Case Status for Cases & Deaths,Probable,Number of Cases,2746
Case Status for Cases & Deaths,Probable,Percent of Cases,0.09
Case Status for Cases & Deaths,Probable,Number of Deaths,337
Case Status for Cases & Deaths,Probable,Percent of Deaths,0.2
Cases of COVID-19 in Colorado by Date Reported to the State,3/7/2020,Three-Day Moving Average Of Cases,2.33
Cases of COVID-19 in Colorado by Date Reported to the State,3/8/2020,Three-Day Moving Average Of Cases,0
Cases of COVID-19 in Colorado by Date Reported to the State,3/9/2020,Three-Day Moving Average Of Cases,1.67
Cases of COVID-19 in Colorado by Date Reported to the State,3/10/2020,Three-Day Moving Average Of Cases,3.67
Cases of COVID-19 in Colorado by Date Reported to the State,3/11/2020,Three-Day Moving Average Of Cases,9.67
Cases of COVID-19 in Colorado by Date Reported to the State,3/12/2020,Three-Day Moving Average Of Cases,11.33
Cases of COVID-19 in Colorado by Date Reported to the State,3/13/2020,Three-Day Moving Average Of Cases,18
Cases of COVID-19 in Colorado by Date Reported to the State,3/14/2020,Three-Day Moving Average Of Cases,21.67
Cases of COVID-19 in Colorado by Date Reported to the State,3/15/2020,Three-Day Moving Average Of Cases,29.67
Cases of COVID-19 in Colorado by Date Reported to the State,3/16/2020,Three-Day Moving Average Of Cases,32.67
Cases of COVID-19 in Colorado by Date Reported to the State,3/17/2020,Three-Day Moving Average Of Cases,33
Cases of COVID-19 in Colorado by Date Reported to the State,3/18/2020,Three-Day Moving Average Of Cases,43.67
Cases of COVID-19 in Colorado by Date Reported to the State,3/19/2020,Three-Day Moving Average Of Cases,59
Cases of COVID-19 in Colorado by Date Reported to the State,3/20/2020,Three-Day Moving Average Of Cases,88.67
Cases of COVID-19 in Colorado by Date Reported to the State,3/21/2020,Three-Day Moving Average Of Cases,105
Cases of COVID-19 in Colorado by Date Reported to the State,3/22/2020,Three-Day Moving Average Of Cases,119.67
Cases of COVID-19 in Colorado by Date Reported to the State,3/23/2020,Three-Day Moving Average Of Cases,144
Cases of COVID-19 in Colorado by Date Reported to the State,3/24/2020,Three-Day Moving Average Of Cases,164
Cases of COVID-19 in Colorado by Date Reported to the State,3/25/2020,Three-Day Moving Average Of Cases,226.33
Cases of COVID-19 in Colorado by Date Reported to the State,3/26/2020,Three-Day Moving Average Of Cases,260.33
Cases of COVID-19 in Colorado by Date Reported to the State,3/27/2020,Three-Day Moving Average Of Cases,311
Cases of COVID-19 in Colorado by Date Reported to the State,3/28/2020,Three-Day Moving Average Of Cases,288
Cases of COVID-19 in Colorado by Date Reported to the State,3/29/2020,Three-Day Moving Average Of Cases,300
Cases of COVID-19 in Colorado by Date Reported to the State,3/30/2020,Three-Day Moving Average Of Cases,299
Cases of COVID-19 in Colorado by Date Reported to the State,3/31/2020,Three-Day Moving Average Of Cases,347.33
Cases of COVID-19 in Colorado by Date Reported to the State,4/1/2020,Three-Day Moving Average Of Cases,369
Cases of COVID-19 in Colorado by Date Reported to the State,4/2/2020,Three-Day Moving Average Of Cases,410
Cases of COVID-19 in Colorado by Date Reported to the State,4/3/2020,Three-Day Moving Average Of Cases,409.67
Cases of COVID-19 in Colorado by Date Reported to the State,4/4/2020,Three-Day Moving Average Of Cases,406.67
Cases of COVID-19 in Colorado by Date Reported to the State,4/5/2020,Three-Day Moving Average Of Cases,331
Cases of COVID-19 in Colorado by Date Reported to the State,4/6/2020,Three-Day Moving Average Of Cases,290.67
Cases of COVID-19 in Colorado by Date Reported to the State,4/7/2020,Three-Day Moving Average Of Cases,248
Cases of COVID-19 in Colorado by Date Reported to the State,4/8/2020,Three-Day Moving Average Of Cases,357.33
Cases of COVID-19 in Colorado by Date Reported to the State,4/9/2020,Three-Day Moving Average Of Cases,390.33
Cases of COVID-19 in Colorado by Date Reported to the State,4/10/2020,Three-Day Moving Average Of Cases,448.67
Cases of COVID-19 in Colorado by Date Reported to the State,4/11/2020,Three-Day Moving Average Of Cases,410
Cases of COVID-19 in Colorado by Date Reported to the State,4/12/2020,Three-Day Moving Average Of Cases,414.67
Cases of COVID-19 in Colorado by Date Reported to the State,4/13/2020,Three-Day Moving Average Of Cases,368
Cases of COVID-19 in Colorado by Date Reported to the State,4/14/2020,Three-Day Moving Average Of Cases,327
Cases of COVID-19 in Colorado by Date Reported to the State,4/15/2020,Three-Day Moving Average Of Cases,339
Cases of COVID-19 in Colorado by Date Reported to the State,4/16/2020,Three-Day Moving Average Of Cases,358
Cases of COVID-19 in Colorado by Date Reported to the State,4/17/2020,Three-Day Moving Average Of Cases,394.67
Cases of COVID-19 in Colorado by Date Reported to the State,4/18/2020,Three-Day Moving Average Of Cases,345.67
Cases of COVID-19 in Colorado by Date Reported to the State,4/19/2020,Three-Day Moving Average Of Cases,332.67
Cases of COVID-19 in Colorado by Date Reported to the State,4/20/2020,Three-Day Moving Average Of Cases,291
Cases of COVID-19 in Colorado by Date Reported to the State,4/21/2020,Three-Day Moving Average Of Cases,357.67
Cases of COVID-19 in Colorado by Date Reported to the State,4/22/2020,Three-Day Moving Average Of Cases,385.33
Cases of COVID-19 in Colorado by Date Reported to the State,4/23/2020,Three-Day Moving Average Of Cases,611.33
Cases of COVID-19 in Colorado by Date Reported to the State,4/24/2020,Three-Day Moving Average Of Cases,692
Cases of COVID-19 in Colorado by Date Reported to the State,4/25/2020,Three-Day Moving Average Of Cases,725.67
Cases of COVID-19 in Colorado by Date Reported to the State,4/26/2020,Three-Day Moving Average Of Cases,545
Cases of COVID-19 in Colorado by Date Reported to the State,4/27/2020,Three-Day Moving Average Of Cases,473.33
Cases of COVID-19 in Colorado by Date Reported to the State,4/28/2020,Three-Day Moving Average Of Cases,453
Cases of COVID-19 in Colorado by Date Reported to the State,4/29/2020,Three-Day Moving Average Of Cases,590.33
Cases of COVID-19 in Colorado by Date Reported to the State,4/30/2020,Three-Day Moving Average Of Cases,576.33
Cases of COVID-19 in Colorado by Date Reported to the State,5/1/2020,Three-Day Moving Average Of Cases,584.33
Cases of COVID-19 in Colorado by Date Reported to the State,5/2/2020,Three-Day Moving Average Of Cases,439
Cases of COVID-19 in Colorado by Date Reported to the State,5/3/2020,Three-Day Moving Average Of Cases,367.67
Cases of COVID-19 in Colorado by Date Reported to the State,5/4/2020,Three-Day Moving Average Of Cases,337
Cases of COVID-19 in Colorado by Date Reported to the State,5/5/2020,Three-Day Moving Average Of Cases,333
Cases of COVID-19 in Colorado by Date Reported to the State,5/6/2020,Three-Day Moving Average Of Cases,400.67
Cases of COVID-19 in Colorado by Date Reported to the State,5/7/2020,Three-Day Moving Average Of Cases,430.33
Cases of COVID-19 in Colorado by Date Reported to the State,5/8/2020,Three-Day Moving Average Of Cases,482
Cases of COVID-19 in Colorado by Date Reported to the State,5/9/2020,Three-Day Moving Average Of Cases,449.67
Cases of COVID-19 in Colorado by Date Reported to the State,5/10/2020,Three-Day Moving Average Of Cases,369.33
Cases of COVID-19 in Colorado by Date Reported to the State,5/11/2020,Three-Day Moving Average Of Cases,269
Cases of COVID-19 in Colorado by Date Reported to the State,5/12/2020,Three-Day Moving Average Of Cases,252.33
Cases of COVID-19 in Colorado by Date Reported to the State,5/13/2020,Three-Day Moving Average Of Cases,324.33
Cases of COVID-19 in Colorado by Date Reported to the State,5/14/2020,Three-Day Moving Average Of Cases,376.33
Cases of COVID-19 in Colorado by Date Reported to the State,5/15/2020,Three-Day Moving Average Of Cases,422
Cases of COVID-19 in Colorado by Date Reported to the State,5/16/2020,Three-Day Moving Average Of Cases,390
Cases of COVID-19 in Colorado by Date Reported to the State,5/17/2020,Three-Day Moving Average Of Cases,328
Cases of COVID-19 in Colorado by Date Reported to the State,5/18/2020,Three-Day Moving Average Of Cases,274.33
Cases of COVID-19 in Colorado by Date Reported to the State,5/19/2020,Three-Day Moving Average Of Cases,259.67
Cases of COVID-19 in Colorado by Date Reported to the State,5/20/2020,Three-Day Moving Average Of Cases,307.67
Cases of COVID-19 in Colorado by Date Reported to the State,5/21/2020,Three-Day Moving Average Of Cases,319.33
Cases of COVID-19 in Colorado by Date Reported to the State,5/22/2020,Three-Day Moving Average Of Cases,372
Cases of COVID-19 in Colorado by Date Reported to the State,5/23/2020,Three-Day Moving Average Of Cases,325.67
Cases of COVID-19 in Colorado by Date Reported to the State,5/24/2020,Three-Day Moving Average Of Cases,312
Cases of COVID-19 in Colorado by Date Reported to the State,5/25/2020,Three-Day Moving Average Of Cases,263.67
Cases of COVID-19 in Colorado by Date Reported to the State,5/26/2020,Three-Day Moving Average Of Cases,256.67
Cases of COVID-19 in Colorado by Date Reported to the State,5/27/2020,Three-Day Moving Average Of Cases,264
Cases of COVID-19 in Colorado by Date Reported to the State,5/28/2020,Three-Day Moving Average Of Cases,277.33
Cases of COVID-19 in Colorado by Date Reported to the State,5/29/2020,Three-Day Moving Average Of Cases,373.67
Cases of COVID-19 in Colorado by Date Reported to the State,5/30/2020,Three-Day Moving Average Of Cases,377.67
Cases of COVID-19 in Colorado by Date Reported to the State,5/31/2020,Three-Day Moving Average Of Cases,312.67
Cases of COVID-19 in Colorado by Date Reported to the State,6/1/2020,Three-Day Moving Average Of Cases,218.33
Cases of COVID-19 in Colorado by Date Reported to the State,6/2/2020,Three-Day Moving Average Of Cases,198.67
Cases of COVID-19 in Colorado by Date Reported to the State,6/3/2020,Three-Day Moving Average Of Cases,250
Cases of COVID-19 in Colorado by Date Reported to the State,6/4/2020,Three-Day Moving Average Of Cases,270
Cases of COVID-19 in Colorado by Date Reported to the State,6/5/2020,Three-Day Moving Average Of Cases,266.67
Cases of COVID-19 in Colorado by Date Reported to the State,6/6/2020,Three-Day Moving Average Of Cases,219.33
Cases of COVID-19 in Colorado by Date Reported to the State,6/7/2020,Three-Day Moving Average Of Cases,177
Cases of COVID-19 in Colorado by Date Reported to the State,6/8/2020,Three-Day Moving Average Of Cases,159.33
Cases of COVID-19 in Colorado by Date Reported to the State,6/9/2020,Three-Day Moving Average Of Cases,149.33
Cases of COVID-19 in Colorado by Date Reported to the State,6/10/2020,Three-Day Moving Average Of Cases,141.67
Cases of COVID-19 in Colorado by Date Reported to the State,6/11/2020,Three-Day Moving Average Of Cases,145.33
Cases of COVID-19 in Colorado by Date Reported to the State,6/12/2020,Three-Day Moving Average Of Cases,177.67
Cases of COVID-19 in Colorado by Date Reported to the State,6/13/2020,Three-Day Moving Average Of Cases,176.33
Cases of COVID-19 in Colorado by Date Reported to the State,6/14/2020,Three-Day Moving Average Of Cases,157.67
Cases of COVID-19 in Colorado by Date Reported to the State,6/15/2020,Three-Day Moving Average Of Cases,127.33
Cases of COVID-19 in Colorado by Date Reported to the State,6/16/2020,Three-Day Moving Average Of Cases,173
Cases of COVID-19 in Colorado by Date Reported to the State,6/17/2020,Three-Day Moving Average Of Cases,209.67
Cases of COVID-19 in Colorado by Date Reported to the State,6/18/2020,Three-Day Moving Average Of Cases,267.67
Cases of COVID-19 in Colorado by Date Reported to the State,6/19/2020,Three-Day Moving Average Of Cases,240.33
Cases of COVID-19 in Colorado by Date Reported to the State,6/20/2020,Three-Day Moving Average Of Cases,226.33
Cases of COVID-19 in Colorado by Date Reported to the State,6/21/2020,Three-Day Moving Average Of Cases,168.33
Cases of COVID-19 in Colorado by Date Reported to the State,Note,Data reported daily around 4PM; subsequent days' data may show differences as cases are reported after this time.,NA
Cases of COVID-19 in Colorado by Date Reported to the State,3/5/2020,Cases,7
Cases of COVID-19 in Colorado by Date Reported to the State,3/6/2020,Cases,0
Cases of COVID-19 in Colorado by Date Reported to the State,3/7/2020,Cases,0
Cases of COVID-19 in Colorado by Date Reported to the State,3/8/2020,Cases,0
Cases of COVID-19 in Colorado by Date Reported to the State,3/9/2020,Cases,5
Cases of COVID-19 in Colorado by Date Reported to the State,3/10/2020,Cases,6
Cases of COVID-19 in Colorado by Date Reported to the State,3/11/2020,Cases,18
Cases of COVID-19 in Colorado by Date Reported to the State,3/12/2020,Cases,10
Cases of COVID-19 in Colorado by Date Reported to the State,3/13/2020,Cases,26
Cases of COVID-19 in Colorado by Date Reported to the State,3/14/2020,Cases,29
Cases of COVID-19 in Colorado by Date Reported to the State,3/15/2020,Cases,34
Cases of COVID-19 in Colorado by Date Reported to the State,3/16/2020,Cases,35
Cases of COVID-19 in Colorado by Date Reported to the State,3/17/2020,Cases,30
Cases of COVID-19 in Colorado by Date Reported to the State,3/18/2020,Cases,66
Cases of COVID-19 in Colorado by Date Reported to the State,3/19/2020,Cases,81
Cases of COVID-19 in Colorado by Date Reported to the State,3/20/2020,Cases,119
Cases of COVID-19 in Colorado by Date Reported to the State,3/21/2020,Cases,115
Cases of COVID-19 in Colorado by Date Reported to the State,3/22/2020,Cases,125
Cases of COVID-19 in Colorado by Date Reported to the State,3/23/2020,Cases,192
Cases of COVID-19 in Colorado by Date Reported to the State,3/24/2020,Cases,175
Cases of COVID-19 in Colorado by Date Reported to the State,3/25/2020,Cases,312
Cases of COVID-19 in Colorado by Date Reported to the State,3/26/2020,Cases,294
Cases of COVID-19 in Colorado by Date Reported to the State,3/27/2020,Cases,327
Cases of COVID-19 in Colorado by Date Reported to the State,3/28/2020,Cases,243
Cases of COVID-19 in Colorado by Date Reported to the State,3/29/2020,Cases,330
Cases of COVID-19 in Colorado by Date Reported to the State,3/30/2020,Cases,324
Cases of COVID-19 in Colorado by Date Reported to the State,3/31/2020,Cases,388
Cases of COVID-19 in Colorado by Date Reported to the State,4/1/2020,Cases,395
Cases of COVID-19 in Colorado by Date Reported to the State,4/2/2020,Cases,447
Cases of COVID-19 in Colorado by Date Reported to the State,4/3/2020,Cases,387
Cases of COVID-19 in Colorado by Date Reported to the State,4/4/2020,Cases,386
Cases of COVID-19 in Colorado by Date Reported to the State,4/5/2020,Cases,220
Cases of COVID-19 in Colorado by Date Reported to the State,4/6/2020,Cases,266
Cases of COVID-19 in Colorado by Date Reported to the State,4/7/2020,Cases,258
Cases of COVID-19 in Colorado by Date Reported to the State,4/8/2020,Cases,548
Cases of COVID-19 in Colorado by Date Reported to the State,4/9/2020,Cases,365
Cases of COVID-19 in Colorado by Date Reported to the State,4/10/2020,Cases,433
Cases of COVID-19 in Colorado by Date Reported to the State,4/11/2020,Cases,432
Cases of COVID-19 in Colorado by Date Reported to the State,4/12/2020,Cases,379
Cases of COVID-19 in Colorado by Date Reported to the State,4/13/2020,Cases,293
Cases of COVID-19 in Colorado by Date Reported to the State,4/14/2020,Cases,309
Cases of COVID-19 in Colorado by Date Reported to the State,4/15/2020,Cases,415
Cases of COVID-19 in Colorado by Date Reported to the State,4/16/2020,Cases,350
Cases of COVID-19 in Colorado by Date Reported to the State,4/17/2020,Cases,419
Cases of COVID-19 in Colorado by Date Reported to the State,4/18/2020,Cases,268
Cases of COVID-19 in Colorado by Date Reported to the State,4/19/2020,Cases,311
Cases of COVID-19 in Colorado by Date Reported to the State,4/20/2020,Cases,294
Cases of COVID-19 in Colorado by Date Reported to the State,4/21/2020,Cases,468
Cases of COVID-19 in Colorado by Date Reported to the State,4/22/2020,Cases,394
Cases of COVID-19 in Colorado by Date Reported to the State,4/23/2020,Cases,972
Cases of COVID-19 in Colorado by Date Reported to the State,4/24/2020,Cases,710
Cases of COVID-19 in Colorado by Date Reported to the State,4/25/2020,Cases,495
Cases of COVID-19 in Colorado by Date Reported to the State,4/26/2020,Cases,430
Cases of COVID-19 in Colorado by Date Reported to the State,4/27/2020,Cases,495
Cases of COVID-19 in Colorado by Date Reported to the State,4/28/2020,Cases,434
Cases of COVID-19 in Colorado by Date Reported to the State,4/29/2020,Cases,842
Cases of COVID-19 in Colorado by Date Reported to the State,4/30/2020,Cases,453
Cases of COVID-19 in Colorado by Date Reported to the State,5/1/2020,Cases,458
Cases of COVID-19 in Colorado by Date Reported to the State,5/2/2020,Cases,406
Cases of COVID-19 in Colorado by Date Reported to the State,5/3/2020,Cases,239
Cases of COVID-19 in Colorado by Date Reported to the State,5/4/2020,Cases,366
Cases of COVID-19 in Colorado by Date Reported to the State,5/5/2020,Cases,394
Cases of COVID-19 in Colorado by Date Reported to the State,5/6/2020,Cases,442
Cases of COVID-19 in Colorado by Date Reported to the State,5/7/2020,Cases,455
Cases of COVID-19 in Colorado by Date Reported to the State,5/8/2020,Cases,549
Cases of COVID-19 in Colorado by Date Reported to the State,5/9/2020,Cases,345
Cases of COVID-19 in Colorado by Date Reported to the State,5/10/2020,Cases,214
Cases of COVID-19 in Colorado by Date Reported to the State,5/11/2020,Cases,248
Cases of COVID-19 in Colorado by Date Reported to the State,5/12/2020,Cases,295
Cases of COVID-19 in Colorado by Date Reported to the State,5/13/2020,Cases,430
Cases of COVID-19 in Colorado by Date Reported to the State,5/14/2020,Cases,404
Cases of COVID-19 in Colorado by Date Reported to the State,5/15/2020,Cases,432
Cases of COVID-19 in Colorado by Date Reported to the State,5/16/2020,Cases,334
Cases of COVID-19 in Colorado by Date Reported to the State,5/17/2020,Cases,218
Cases of COVID-19 in Colorado by Date Reported to the State,5/18/2020,Cases,271
Cases of COVID-19 in Colorado by Date Reported to the State,5/19/2020,Cases,290
Cases of COVID-19 in Colorado by Date Reported to the State,5/20/2020,Cases,362
Cases of COVID-19 in Colorado by Date Reported to the State,5/21/2020,Cases,306
Cases of COVID-19 in Colorado by Date Reported to the State,5/22/2020,Cases,448
Cases of COVID-19 in Colorado by Date Reported to the State,5/23/2020,Cases,223
Cases of COVID-19 in Colorado by Date Reported to the State,5/24/2020,Cases,265
Cases of COVID-19 in Colorado by Date Reported to the State,5/25/2020,Cases,303
Cases of COVID-19 in Colorado by Date Reported to the State,5/26/2020,Cases,202
Cases of COVID-19 in Colorado by Date Reported to the State,5/27/2020,Cases,287
Cases of COVID-19 in Colorado by Date Reported to the State,5/28/2020,Cases,343
Cases of COVID-19 in Colorado by Date Reported to the State,5/29/2020,Cases,491
Cases of COVID-19 in Colorado by Date Reported to the State,5/30/2020,Cases,299
Cases of COVID-19 in Colorado by Date Reported to the State,5/31/2020,Cases,148
Cases of COVID-19 in Colorado by Date Reported to the State,6/1/2020,Cases,208
Cases of COVID-19 in Colorado by Date Reported to the State,6/2/2020,Cases,240
